training_size,head,parameter_count,mean_baseline_pearson,mean_candidate_pearson,candidate_pearson_seed_sd,mean_delta,seed_delta_sample_sd,bootstrap_ci_low,bootstrap_ci_high,seed_randomization_p,holm_adjusted_p,wins,ties,losses,worst_seed_delta
200,mean_rich_stats_residual,2561,0.5267036676630521,0.6043440498975317,0.009131212061394419,0.07764038223447964,0.011664561786719749,0.01949610986040947,0.13753937497383217,0.0009765625,0.005859375,10,0,0,0.05957910871514227
400,mean_rich_stats_residual,2561,0.6551057236195252,0.7106224225169633,0.007845046099354228,0.055516698897437954,0.005872480230777899,-0.01736421432950053,0.13906574597297305,0.0009765625,0.005859375,10,0,0,0.045321450023431686
800,mean_rich_stats_residual,2561,0.6450797928681278,0.6762519884786492,0.006958708788342719,0.03117219561052149,0.004359571887903838,-0.04815879477561084,0.12031622858512503,0.0009765625,0.005859375,10,0,0,0.02581563600451975
200,mean_mlp_residual_matched(hidden_dim=4),2569,0.5267036676630521,0.5824642220847711,0.025185916113516896,0.05576055442171909,0.018408594932503772,0.01914078497681367,0.0970127398024433,0.0009765625,0.005859375,10,0,0,0.022516934399567257
400,mean_mlp_residual_matched(hidden_dim=4),2569,0.6551057236195252,0.7042713247729205,0.013769073136070498,0.049165601153395244,0.009688972198942122,0.00614259596327444,0.09627669568563414,0.0009765625,0.005859375,10,0,0,0.0295762947034397
800,mean_mlp_residual_matched(hidden_dim=4),2569,0.6450797928681278,0.6622986494567487,0.011601621666030744,0.01721885658862097,0.008444821172810627,-0.04043402192881335,0.07582219654640031,0.0009765625,0.005859375,10,0,0,0.004397461156891214
