head,contrast,observed,bootstrap_ci_low,bootstrap_ci_high,seed_randomization_p,holm_adjusted_p,seed_delta_sample_sd
mean_rich_stats_residual,endpoint_800_minus_200,-0.046468186623958144,-0.11156672130712189,0.022977097690170926,1.0,1.0,0.009582680408326287
mean_rich_stats_residual,adjacent_400_minus_200,-0.022123683337041684,-0.06946186136738848,0.03138694658267299,1.0,1.0,0.008185488961346474
mean_rich_stats_residual,adjacent_800_minus_400,-0.024344503286916463,-0.06521467860045875,0.015812315885924508,1.0,1.0,0.00450016818732402
mean_mlp_residual_matched(hidden_dim=4),endpoint_800_minus_200,-0.03854169783309812,-0.08979373034036939,0.012274573534825634,1.0,1.0,0.01785013622639677
mean_mlp_residual_matched(hidden_dim=4),adjacent_400_minus_200,-0.006594953268323843,-0.04364162352235472,0.029431274431052312,0.9130859375,1.0,0.014467043217300938
mean_mlp_residual_matched(hidden_dim=4),adjacent_800_minus_400,-0.031946744564774275,-0.0608351191225595,-0.0039389723778050926,1.0,1.0,0.00835786696776632
